1 Aubree Munro 7 3 2 1
2 Ali Aguilar 4 1 1 0
3 Ally Carda 3 1 0 0
4 Jessie Joybat 5 2 1 1
5 Kelsey Stewart 2 1 0 1
6 Haylie Cleney 3 0 0 1
7 Janie Reed 3 1 2 1
8 Monica Abbott 1 1 1 0
9 Michelle Moultrie 2 1 1 0
10 Valerie Arioto 3 1 0 1
11 Rachel Garcia 4 2 1 1
12 Dejah Mulipola 3 1 0 0
13 Cat Osterman 2 1 0 0
14 Bubba Nickles 2 1 0 1
15 Delaney Spaulding 2 0 1 1
1 Aubree Munro 8 3 2 1
2 Ali Aguilar 9 1 1 0
3 Ally Carda 3 1 0 0
4 Jessie Joybat 4 2 1 1
5 Kelsey Stewart 3 1 0 1
6 Haylie Cleney 5 1 0 1
7 Janie Reed 4 1 2 1
8 Monica Abbott 2 1 1 0
9 Michelle Moultrie 3 1 1 0
10 Valerie Arioto 2 1 0 1
7 Janie Reed 5 1 2 1
8 Monica Abbott 4 1 1 0
9 Michelle Moultrie 4 1 1 0
10 Valerie Arioto 6 1 0 1
11 Rachel Garcia 8 2 2 1
12 Dejah Mulipola 7 1 0 0
13 Cat Osterman 5 3 1 0
14 Bubba Nickles 6 1 3 1
